# Problem: coffey_evans (LGCC, paper eigenvalues-head run, dense eig full spectrum)
#   -y'' + q(x) y = lambda y,  y(a) = y(b) = 0
#   [a, b] = [-1.5707963267949, 1.5707963267949]
# Resolution N = 1000, dofs = 1000
# Computation time: 50.8592 s
n,lambda_n
1,-2.46330875337e-11
2,117.946307662
3,231.664929237
4,231.664929313
5,231.664929389
6,340.88829981
7,445.283089582
8,445.283172307
9,445.283255031
10,544.418385149
11,637.682249874
12,637.704362342
13,637.726502319
14,724.25768135
15,800.831312182
16,802.478798693
17,804.279305169
18,868.960222871
19,909.481046507
20,925.977309835
21,951.878806797
22,992.537296731
23,1032.30248264
24,1073.45003144
25,1118.1447242
26,1165.66802471
27,1215.559092
28,1267.80872632
29,1322.38489103
30,1379.22802645
31,1438.29524464
32,1499.55521029
33,1562.98195898
34,1628.55383286
35,1696.2527991
36,1766.06368975
37,1837.97362967
38,1911.9716138
39,1988.04817696
40,2066.19513196
41,2146.40536054
42,2228.6726447
43,2312.99152938
44,2399.35720975
45,2487.76543809
46,2578.21244626
47,2670.69488079
48,2765.20974827
49,2861.75436912
50,2960.32633825
51,3060.92349151
52,3163.5438769
53,3268.18572975
54,3374.84745131
55,3483.52759016
56,3594.22482607
57,3706.93795583
58,3821.66588099
59,3938.40759693
60,4057.16218339
61,4177.92879601
62,4300.70665891
63,4425.49505808
64,4552.29333552
65,4681.10088401
66,4811.91714249
67,4944.74159182
68,5079.57375115
69,5216.41317448
70,5355.25944773
71,5496.11218597
72,5638.97103102
73,5783.83564923
74,5930.70572949
75,6079.58098139
76,6230.46113365
77,6383.34593256
78,6538.23514064
79,6695.12853545
80,6854.02590839
81,7014.92706375
82,7177.8318177
83,7342.73999747
84,7509.65144057
85,7678.565994
86,7849.48351368
87,8022.40386376
88,8197.3269161
89,8374.25254973
90,8553.18065039
91,8734.11111007
92,8917.04382662
93,9101.97870337
94,9288.91564877
95,9477.85457606
96,9668.79540301
97,9861.73805159
98,10056.6824478
99,10253.6285212
